word,definition,pos,example,commonness_zipf
literacy,the ability to read and write,noun,,3.9
progression,a series with a definite pattern of advance,noun,,3.9
shepherd,a clergyman who watches over a group of people,noun,,3.9
reservoir,a large or extra supply of something,noun,a reservoir of talent,3.9
trinity,the cardinal number that is the sum of one and one and one,noun,,3.9
unlock,open the lock of,verb,unlock the door,3.9
mortality,the quality or state of being mortal,noun,,3.9
coordination,the skillful and effective interaction of movements,noun,,3.9
scrap,a small fragment of something broken off from the whole,noun,a bit of rock caught him in the eye,3.9
sensation,an unelaborated elementary awareness of stimulation,noun,a sensation of touch,3.9
aftermath,the consequences of an event (especially a catastrophic event),noun,the aftermath of war,3.9
gesture,motion of hands or body to emphasize or help to express a thought or feeling,noun,,3.9
stiff,an ordinary man,noun,a lucky stiff,3.9
horizontal,something that is oriented horizontally,noun,,3.9
transparency,permitting the free passage of electromagnetic radiation,noun,,3.9
wagon,any of various kinds of wheeled vehicles drawn by an animal or a tractor,noun,,3.9
elevation,the event of something being raised upward,noun,an elevation of the temperature in the afternoon,3.9
particle,(nontechnical usage) a tiny piece of anything,noun,,3.9
blunt,make less intense,verb,blunted emotions,3.9
shuttle,badminton equipment consisting of a ball of cork or rubber with a crown of feathers,noun,,3.9
champagne,a white sparkling wine either produced in Champagne or resembling that produced there,noun,,3.9
peanut,underground pod of the peanut vine,noun,,3.9
cleaner,a preparation used in cleaning something,noun,,3.9
pharmaceutical,drug or medicine that is prepared or dispensed in pharmacies and used in medical treatment,noun,,3.9
historian,a person who is an authority on history and who studies it and writes about it,noun,,3.9
chorus,any utterance produced simultaneously by a group,noun,a chorus of boos,3.9
arguably,as can be shown by argument,adv,she is arguably the best,3.9
classics,study of the literary works of ancient Greece and Rome,noun,,3.9
snack,a light informal meal,noun,,3.9
balloon,large tough nonrigid bag filled with gas or heated air,noun,,3.9
moisture,wetness caused by water,noun,drops of wet gleamed on the window,3.9
rejection,the act of rejecting something,noun,his proposals were met with rejection,3.9
chrome,another word for chromium when it is used in dyes or pigments,noun,,3.9
discretion,freedom to act or judge on one's own,noun,,3.9
inevitably,in such a manner as could not be otherwise,adv,it is necessarily so,3.9
stern,the rear part of a ship,noun,,3.9
rebuild,build again,verb,The house was rebuild after it was hit by a bomb,3.9
