cuvant,definitie,parte_de_vorbire,frecventa
priceput,ager și informat pe deplin,adjectiv,8242
suc,"Lichid conținut în substanțele vegetale, în special în fructe, de unde poate fi extras prin presare sau stoarcere",substantiv,8240
jaf,Furt săvârșit prin violență,substantiv,8225
legal,"Care există sau se face în temeiul unei legi, care este prevăzut de o lege, este conform cu legea.",adjectiv,8222
mincinos,"persoană care spune minciuni, care minte repetat",substantiv,8221
ilegal,"Interzis de lege, contrar unei legi sau unei norme",adjectiv,8202
pachet,Obiect sau grup de obiecte strânse la un loc sau înfășurate într-o învelitoare de protecție ( și legate) pentru a se putea păstra sau transporta mai ușor,substantiv,8195
păstrat,Rămas în memorie sau utilizare,adjectiv,8163
viteză,Schimbarea rapidă a locației.,substantiv,8161
presiune,Forță care apasă (uniform și perpendicular) pe unitatea de suprafață a unui corp,substantiv,8157
conta,a-și pune toată nădejdea în cineva sau în ceva,verb,8131
parca,A lăsa un vehicul să staționeze într-un loc public (anume menajat).,verb,8117
transport,acțiunea de a deplasa (cu un vehicul) bunuri sau persoane dintr-un loc în altul;,substantiv,8101
răpit,mișcat profund,adjectiv,8090
gelos,"Care suferă de gelozie , cuprins de gelozie",adjectiv,8089
lemn,"țesut conducător al unor plante superioare, alcătuit din trahee, parenchim și fibre cu ligatură",substantiv,8084
gen,"Fel, soi, tip (pe care le reprezintă un obiect, o ființă, un fenomen etc.)",substantiv,8057
îmbrăcat,Faptul de a (se) îmbrăca,substantiv,8056
ofertă,Propunere făcută de o persoană altei persoane pentru vânzarea-cumpărarea unor mărfuri,substantiv,8044
împinge,"A mișca, a urni, a deplasa din loc pe cineva sau ceva, exercitând o apăsare.;",verb,8032
mărturie,Depoziție făcută de un martor în fața unei instanțe judecătorești,substantiv,8027
donna,femeie cu rang de noblețe din Italia,substantiv,8026
roman,"operă narativă în proză, de întindere mare",substantiv,8025
condamnat,Persoană osândită printr-o sentință judecătorească,substantiv,8011
fix,Care nu-și schimbă locul sau poziția,adjectiv,8011
fantomă,ființă supranaturală care întruchipează sufletul unei persoane decedate,substantiv,8007
cânt,tip de cântec în care mai multe silabe trebuie cântate pe un singur ton,substantiv,7994
efect,"Fenomen care rezultă în mod necesar dintr-o anumită cauză, fiind într-o legătură indestructibilă cu aceasta",substantiv,7994
plâns,acțiunea de a vărsa lacrimi (însoțit de obicei de suspine sau alte sunete),substantiv,7993
adăpost,"Loc, clădire în care se păstrează materiale ilegale (ca droguri, arme)",substantiv,7977
rai,"Loc plin de încântare și de fericire unde, potrivit credințelor religioase, ar ajunge după moarte sufletele celor care respectă preceptele religiei",substantiv,7973
moale,"Care cedează ușor la apăsare, modificându-și forma",adjectiv,7969
apropia,"A se deplasa înspre persoana care vorbește sau despre care se vorbește; a se apropia de un loc, de o așezare;",verb,7966
lord,(În evul mediu) Mare proprietar funciar,substantiv,7966
val,"Masă de apă care înaintează prin mișcări oscilatorii la suprafața unei mări, a unui fluviu etc., formând creste și adâncituri",substantiv,7963
obligat,Care este îndatorat sau recunoscător cuiva pentru un serviciu făcut,adjectiv,7959
dublu,Care este de două ori mai mult în raport cu o cantitate dată,adjectiv,7958
urcat,Mișcare de jos în sus.,substantiv,7956
siguranță,Lipsă de primejdie; sentiment de liniște și încredere pe care îl dă cuiva faptul de a se ști la adăpost de orice pericol; securitate,substantiv,7955
indiciu,"Particularitate, semnalment, manifestare, dovadă concretă după care se poate recunoaște un obiect, o ființă sau un fenomen.",substantiv,7935
demult,"Cu mult timp înainte, de multă vreme.",adverb,7933
medical,Din punct de vedere al practicii sau teoriei medicale,adverb,7927
strâns,(Despre o haină) care nu este sufient de largă,adjectiv,7903
engleză,disciplina care studiază limba și literatura engleză,substantiv,7873
încheiat,(Despre acțiuni) Care a fost dus până la capăt,adjectiv,7871
iertare,Actul de scutire a cuiva de o pedeapsă.,substantiv,7869
băga,"A face ca cineva sau ceva să intre, să pătrundă în ceva, undeva",verb,7843
ziar,"Publicație periodică, de obicei cotidiană, în care se tipăresc știri, informații politice, sociale, culturale etc. de actualitate;",substantiv,7838
cadă,Vas mare pentru îmbăiat,substantiv,7834
local,"care se referă la, se aplică la sau are în vedere administrația unui oraș sau unui județ",adjectiv,7826
teatru,Clădire sau loc special amenajat în vederea reprezentării de spectacole.,substantiv,7825
pilot,persoană calificată care conduce o aeronavă,substantiv,7824
munte,"Ridicătură a scoarței pământului mai mare decât dealul, de obicei stâncoasă și depășind înălțimea de 800 de metri",substantiv,7815
presa,a exercita o forță cu o greutate mare,verb,7815
dator,"Obligat (moralicește sau prin lege, printr-o învoială) să facă ceva",adjectiv,7805
banda,a decora cu benzi care conțin forme geometrice,verb,7797
vânt,Deplasare pe orizontală a unei mase de aer provocată de diferența de presiune existentă între două regiuni ale atmosferei.;,substantiv,7789
brânză,Produs alimentar obținut prin coagularea și prelucrarea laptelui,substantiv,7781
tratat,"Înțelegere scrisă încheiată între două sau mai multe state, în vederea determinării, într-un anumit domeniu, a drepturilor și a obligațiilor părților contractante sau în scopul stabilirii unor norme juridice",substantiv,7772
răbdare,toleranță înțelegătoare a întârzierilor sau a incompetenței,substantiv,7754
transforma,a schimba aspectele originale,verb,7738
nasol,De proastă calitate,adjectiv,7738
pierdere,"Faptul de a pierde; "" pierderea lui a fost neașteptată """,substantiv,7737
miracol,"Fenomen ieșit din comun, surprinzător, atribuit puterii dumnezeiești sau altor forțe supranaturale.",substantiv,7734
curios,Care manifestă curiozitate.,adjectiv,7718
salvare,restabilire sau ferire de pagubă sau pierdere,substantiv,7714
vie,plantație de viță.,substantiv,7706
rol,"Partitură scenică ce revine unui actor într-o piesă de teatru, unui cântăreț într-o operă etc. pentru interpretarea unui personaj.;",substantiv,7704
urmări,"A merge, a se deplasa, a fugi după cineva, pe urmele cuiva (pentru a supraveghea, pentru a ajunge, a prinde)",verb,7695
neapărat,"În mod necesar, cu orice preț",adverb,7680
hol,o cameră mare într-un castel sau conac,substantiv,7654
buzunar,"Un fel de pungă interioară cusută la haine, în care se țin lucrurile mărunte.;",substantiv,7653
brad,"Arbore din familia pinaceelor care crește în zona muntoasă, înalt până la 50 m, cu tulpina dreaptă, cu frunzele în formă de ace de culoare verde-închis, persistente, cu florile și semințele în conuri",substantiv,7634
adevăr,"ceea ce corespunde realității, ceea ce există sau s-a întâmplat în realitate",substantiv,7622
degeaba,"fără folos, fără rost",adverb,7610
curvă,Femeie care duce o viață desfrânată.,substantiv,7602
urmare,"Rezultat al unei fapte, al unei acțiuni, al unui principiu",substantiv,7590
salutare,"Cuvânt, enunț sau gest cu care se salută",substantiv,7587
eveniment,"Întâmplare importantă, fapt de mare însemnătate",substantiv,7584
boală,Modificare organică sau funcțională a echilibrului normal al organismului; proces patologic care afectează organismul,substantiv,7571
alcool,Derivat obținut prin înlocuirea unui atom de hidrogen din molecula unei hidrocarburi cu un oxidril.,substantiv,7569
depozit,"Loc, clădire în care se păstrează materiale ilegale (ca droguri, arme)",substantiv,7569
antrenor,Persoană calificată care se ocupă cu antrenarea sportivilor,substantiv,7559
star,"Actor sau actriță care deține un rol principal într-un spectacol, mai ales într-un film (și se bucură de renume, de mare popularitate)",substantiv,7557
sunet,Vibrație a particulelor unui mediu elastic care poate fi înregistrată de ureche,substantiv,7553
murdar,"Plin de pete, acoperit de praf, de murdării, îmbâcsit de necurățenie",adjectiv,7540
inel,"Cerc mic de metal (prețios, cu pietre scumpe) care se poartă ca podoabă pe deget.",substantiv,7534
scump,(Despre lucruri) Care se vinde sau se cumpără la un preț ridicat,adjectiv,7515
stil,"Mod specific de exprimare într-un anumit domeniu al activității omenești, pentru anumite scopuri ale comunicării;",substantiv,7484
piesă,"Parte demontabilă a unei mașini, a unui mecanism, a unui instrument, a unei construcții",substantiv,7469
merit,"Calitate, însușire remarcabilă care face pe cineva sau ceva să fie vrednic de stimă, de laudă, de răsplată",substantiv,7461
finală,"Ultima fază a unei competiții sportive, a unui concurs artistic, științific etc. cu caracter eliminatoriu",substantiv,7455
crea,a desfășura o activitate creatoare,verb,7426
incendiu,"Foc mare care cuprinde (și distruge parțial sau total) o clădire, o pădure etc",substantiv,7420
nota,a consemna ceva în scris.,verb,7419
vrăjitoare,femeie despre care se crede că are puteri speciale de la diavol,substantiv,7413
copie,"Reproducere exactă a unui text, a unei opere de artă, a unei imagini fotografice etc.",substantiv,7396
deosebit,"Care este altfel, care nu este asemenea (cu altul)",adjectiv,7394
vas,"Nume generic dat farfuriilor, oalelor, castroanelor etc. folosite la masă și la pregătirea mâncării.",substantiv,7376
explozie,"Reacție chimică sau fizică foarte rapidă, violentă, însoțită de efecte mecanice, sonore, termice, luminoase etc., provocate de descompunerea substanțelor explozive pe care le conține un dispozitiv de distrugere",substantiv,7376
stupid,"Persoană care are mintea mărginită, care pricepe greu un lucru, care acționează fără să judece",substantiv,7373
romantic,Creator a cărui operă se încadrează în romantism.,substantiv,7372
oricât,"Indiferent cât, indiferent de număr sau de cantitate.",adverb,7371
ordonat,"Căruia îi place ordinea, care păstrează ordinea, dichisit",adjectiv,7365
politică,Relație socială care include ca principală dimensiune puterea.,substantiv,7363
sare,"substanță cristalină, sfărâmicioasă, solubilă în apă și cu gust specific, care constituie un condiment de bază în alimentație și este folosită în industria conservelor, în tăbăcărie, în industria chimică etc.; clorură de sodiu",substantiv,7360
scuză,"Motiv real sau pretext invocat de cineva pentru a justifica sau a micșora o vină, o greșeală (proprie sau a altcuiva) sau pentru a se sustrage de la o obligație",substantiv,7360
îngropat,"Ceremonia, ritualul așezării în mormânt",substantiv,7357
primar,"Inițial, primordial, originar",adjectiv,7340
cumpărături,Acțiunea de a cumpăra cele trebuincioase în mod periodic,substantiv,7334
ușor,"care are greutate mică, care cântărește puțin",adjectiv,7323
proba,A face un test. A verifica un lucru spre a-i controla însușirile.,verb,7319
urca,"a lua ceva dintr-un loc și a-l pune în altul, a-i schimba locul",verb,7296
produs,Bun material rezultat dintr-un proces de muncă,substantiv,7294
trafic,"Totalitatea transporturilor de mărfuri și de persoane care se fac pe o anumită cale de comunicație, cu anumite mijloace de transport, într-un interval de timp și în condiții precizate.",substantiv,7286
sac,"Obiect confecționat din pânză, din hârtie rezistentă, din material plastic etc., folosit la păstrarea și la transportarea unor produse",substantiv,7264
vânzare,Acțiunea de a vinde și rezultatul ei,substantiv,7263
gras,Care are sub piele un strat gros de grăsime,adjectiv,7258
bucurie,"Sentiment de mulțumire vie, de satisfacție sufletească",substantiv,7257
uscat,Acțiunea de a (se) usca,substantiv,7252
lac,"Întindere mai mare de apă stătătoare, închisă între maluri, uneori cu scurgere la mare sau la un râu.",substantiv,7247
vară,"anotimpul cel mai călduros al anului, cuprins între primăvară și toamnă și reprezentând (în emisfera boreală) intervalul de timp de la 22 (21) iunie până la 23 septembrie",substantiv,7225
muncit,"Câștigat, agonisit cu multă osteneală",adjectiv,7219
excursie,"Plimbare sau călătorie făcută, de obicei în grup, pe jos sau cu un mijloc de transport, în scop educativ, recreativ etc",substantiv,7211
fan,"(Livr.) Admirator entuziast, pasionat, al unei vedete, al unei mișcări artistice",substantiv,7206
plecare,Faptul de a se depărta,substantiv,7204
roz,Roșu foarte deschis,substantiv,7192
ataca,"(figurativ) A duce o campanie violentă și susținută împotriva unei situații, unei teorii etc. sau împotriva celor care le susțin.",verb,7176
victorie,"Succes obținut într-o competiție sportivă, într-un concurs, la un examen etc.",substantiv,7171
militar,Persoană care face parte din cadrele armatei sau care își face stagiul militar,substantiv,7170
răzbunare,"Faptul de a-și face singur dreptate, pedepsind pe cel de la care a suferit un rău, o nedreptate.",substantiv,7168
zbura,(Despre păsări și insecte) A plana și a se mișca în aer cu ajutorul aripilor.,verb,7166
comandant,"Persoană care comandă o unitate militară, un vas, o garnizoană etc.",substantiv,7159
privi,"A-și îndrepta privirea spre cineva sau ceva pentru a vedea, a cerceta, a observa;",verb,7158
sănătos,"Care se bucură de sănătate deplină, care nu suferă de nici o boală sau infirmitate",adjectiv,7153
respira,"A introduce în plămâni, prin inspirație, aer și a da afară, prin expirație, bioxidul de carbon și vaporii de apă rezultați din arderile care au loc în organism",verb,7151
mondial,"Care aparține lumii întregi, privitor la lumea întreagă",adjectiv,7145
privat,care se limitează la anumite persoane sau grupuri,adjectiv,7139
impresionant,Care produce o impresie puternică sau vie,adjectiv,7138
presă,"Dispozitiv, unealtă, mașină cu care se execută operația de presare a unui material, obiect.",substantiv,7135
natural,"Care este generat, produs, creat de natură, fără intervenția omului",adjectiv,7117
orb,"Lipsit de simțul văzului, care nu vede ( deloc).",adjectiv,7104
fum,"Suspensie de particule solide într-un mediu gazos, produsă în cursul arderii incomplete a materialelor combustibile (sau, artificial și intenționat, cu ajutorul unor substanțe chimice).",substantiv,7084
întâmplare,Ceea ce se întâmplă,substantiv,7083
bucura,"A simți bucurie, a fi cuprins de veselie",verb,7080
computer,"Calculator numeric universal, compus dintr-un număr variabil de unități specializate și comandate de același program înregistrat, care permite efectuarea unor operații aritmetice și logice fără intervenția omului în timpul lucrului și rezolvă probleme de calcul științific, de gestiune a întreprinderilor comerciale sau industriale etc.",substantiv,7070
cercetare,"Probă, încercare prin care se verifică trăinicia, temeinicia unui lucru, a unei situații etc.;",substantiv,7036
numi,a numi într-un anumit fel pe cineva sau ceva,verb,7016
modă,"Obicei, deprindere colectivă, specifică la un moment dat unui mediu social;",substantiv,7008
plictisitor,"Care nu trezește interes, care nu este demn de atenție",adjectiv,7001
alarma,"A inspira sau simți neliniște, grijă, teamă. "" Vestea a tulburat-o foarte tare "".",verb,6991
reciproc,"(Despre acțiuni, fenomene, sentimente etc.) Care acționează unul asupra celuilalt, care se influențează unul pe altul, care vine din amândouă părțile",adjectiv,6985
aparat,mașinărie,substantiv,6983
mizerie,"stare de extremă sărăcie, situație nenorocită, vrednică de plâns",substantiv,6976
anterior,În direcția anterioară,adverb,6976
imaginat,Care există numai în imaginație,adjectiv,6974
rezervă,"Cantitate de alimente, de obiecte, de bani, de materiale etc. pusă deoparte și păstrată pentru a fi întrebuințată mai târziu",substantiv,6953
acoperit,"(figurativ) Care ascunde realitatea sub o aparentăînșelătorie, disimulat",adjectiv,6946
ploaie,Precipitație atmosferică sub formă de picături de apă provenite din condensarea vaporilor din atmosferă.,substantiv,6944
distrat,"De o manieră distrată, neatentă",adverb,6939
nemernic,"Lipsit de scrupule, josnic",adjectiv,6934
drogat,persoană dependentă de droguri,substantiv,6929
profesionist,Persoană care lucrează într-un anumit domeniu de activitate pe baza unei pregătiri corespunzătoare,substantiv,6912
acoperi,A pune peste un obiect sau peste o ființă ceva care le ascunde sau le protejează.;,verb,6905
fiică,"Persoană de sex feminin, considerată în raport cu părinții săi; fată",substantiv,6882
retras,"(Despre oameni) Care trăiește departe de alte persoane, izolat de societate",adjectiv,6882
declarat,"Mărturisit, formulat explicit",adjectiv,6851
împrumut,obiect sau suma de bani împrumutată,substantiv,6850
suferi,A suporta consecințele unui fapt reprobabil,verb,6845
câmp,Întindere vastă de pământ fără accidente însemnate de teren,substantiv,6840
considerat,care se bucură de respect,adjectiv,6818
categoric,Fără condiții sau alternative,adjectiv,6802
plată,Faptul de a plăti o sumă de bani datorată,substantiv,6795
unitate,Însușirea a tot ce constituie un întreg indivizibil,substantiv,6791
bal,"Petrecere (publică) cu dans, organizată seara sau noaptea.",substantiv,6789
păcălit,"(la pl.) mulțimea celor care au fost înșelați, păcăliți",substantiv,6772
canapea,"Mobilă (cu spătar și cu brațe, uneori capitonată) pe care se șade și pe care se poate dormi.",substantiv,6771
lungi,A face mai lung;,verb,6764
beth,a doua literă a alfabetului ebraic,substantiv,6763
talent,"capacitate deosebită, înnăscută sau dobândită, într-o ramură de activitate, care favorizează o activitate creatoare",substantiv,6761
zahăr,"Specie de zaharoză de culoare albă cristalizată, ușor solubilă în apă, cu gust dulce și plăcut, obținută mai ales din sfecla de zahăr sau din trestia de zahăr și constituind unul din produsele alimentare de bază",substantiv,6741
